11/6/2011 10:20,0.2103,0.13,0.096,0.121,0.13,0.13,0.12,0.129,0.139,0.131,0.275,0.099,0.127,0.12,0.057,0.139,0.13
11/6/2011 10:30,0.2585,0.16,0.142,0.148,0.16,0.16,0.147,0.158,0.171,0.16,0.337,0.112,0.155,0.148,0.066,0.17,0.16
11/6/2011 10:40,0.3732,0.181,0.162,0.167,0.181,0.182,0.167,0.179,0.195,0.181,0.381,0.124,0.176,0.169,0.073,0.192,0.182
11/6/2011 10:50,0.3831,0.183,0.163,0.167,0.182,0.183,0.167,0.18,0.196,0.182,0.364,0.13,0.176,0.17,0.074,0.191,0.183
11/6/2011 11:00,0.3733,0.178,0.159,0.165,0.146,0.178,0.163,0.175,0.188,0.177,0.354,0.129,0.172,0.165,0.073,0.189,0.151
11/6/2011 11:10,0.3339,0.161,0.144,0.15,0.161,0.162,0.149,0.16,0.166,0.161,0.333,0.121,0.156,0.15,0.069,0.172,0.169
11/6/2011 11:20,0.3361,0.159,0.142,0.148,0.159,0.16,0.147,0.158,0.165,0.16,0.329,0.122,0.155,0.149,0.07,0.171,0.168
11/6/2011 11:30,0.2953,0.147,0.131,0.137,0.147,0.148,0.136,0.146,0.159,0.148,0.301,0.143,0.143,0.138,0.065,0.158,0.155
11/6/2011 11:40,0.1929,0.098,0.087,0.091,0.097,0.098,0.091,0.097,0.105,0.099,0.198,0.11,0.096,0.092,0.046,0.105,0.102
11/6/2011 11:50,0.1126,0.051,0.046,0.048,0.051,0.052,0.049,0.051,0.055,0.052,0.098,0.072,0.051,0.049,0.028,0.056,0.053
11/6/2011 12:00,0.1712,0.069,0.063,0.066,0.07,0.071,0.066,0.07,0.076,0.071,0.126,0.096,0.069,0.066,0.034,0.076,0.074
11/6/2011 12:10,0.2002,0.098,0.088,0.093,0.099,0.1,0.092,0.099,0.107,0.1,0.199,0.135,0.096,0.093,0.045,0.107,0.104
11/6/2011 12:20,0.2484,0.114,0.102,0.108,0.115,0.116,0.107,0.114,0.124,0.115,0.229,0.165,0.111,0.108,0.051,0.125,0.121
11/6/2011 12:30,0.238,0.114,0.101,0.108,0.114,0.115,0.107,0.114,0.123,0.116,0.228,0.169,0.111,0.108,0.05,0.125,0.12
11/6/2011 12:40,0.2077,0.097,0.086,0.092,0.097,0.098,0.092,0.098,0.105,0.099,0.196,0.148,0.095,0.092,0.045,0.107,0.102
11/6/2011 12:50,0.2651,0.121,0.108,0.116,0.122,0.124,0.115,0.123,0.132,0.124,0.237,0.206,0.12,0.116,0.056,0.134,0.129
11/6/2011 13:00,0.2789,0.131,0.118,0.127,0.134,0.135,0.126,0.135,0.145,0.135,0.235,0.25,0.131,0.127,0.063,0.148,0.141
11/6/2011 13:10,0.2157,0.101,0.091,0.098,0.103,0.104,0.097,0.103,0.111,0.104,0.205,0.201,0.1,0.097,0.053,0.114,0.108
11/6/2011 13:20,0.1971,0.098,0.088,0.094,0.099,0.1,0.094,0.1,0.107,0.101,0.197,0.201,0.097,0.094,0.053,0.11,0.104
11/6/2011 13:30,0.2021,0.087,0.078,0.083,0.088,0.089,0.083,0.089,0.095,0.089,0.176,0.183,0.086,0.083,0.05,0.098,0.092
11/6/2011 13:40,0.3209,0.125,0.133,0.142,0.15,0.151,0.14,0.15,0.162,0.15,0.292,0.397,0.145,0.141,0.073,0.166,0.159
11/6/2011 13:50,0.2105,0.091,0.097,0.104,0.11,0.111,0.104,0.111,0.118,0.111,0.217,0.27,0.107,0.104,0.058,0.122,0.116
11/6/2011 14:00,0.1343,0.064,0.058,0.061,0.064,0.065,0.061,0.066,0.069,0.066,0.132,0.116,0.064,0.061,0.04,0.072,0.067
11/6/2011 14:10,0.1372,0.064,0.058,0.061,0.064,0.066,0.06,0.065,0.07,0.066,0.132,0.125,0.064,0.062,0.039,0.072,0.067
11/6/2011 14:20,0.1793,0.084,0.075,0.08,0.083,0.085,0.078,0.084,0.09,0.084,0.165,0.235,0.082,0.079,0.047,0.094,0.088
11/6/2011 14:30,0.1663,0.082,0.073,0.078,0.081,0.083,0.076,0.081,0.087,0.082,0.161,0.251,0.08,0.077,0.047,0.092,0.086
11/6/2011 14:40,0.1317,0.063,0.057,0.061,0.064,0.065,0.056,0.064,0.068,0.061,0.127,0.201,0.063,0.061,0.039,0.072,0.067
11/6/2011 14:50,0.1445,0.059,0.066,0.072,0.075,0.075,0.056,0.065,0.07,0.055,0.145,0.343,0.072,0.071,0.048,0.086,0.08
11/6/2011 15:00,0.097,0.05,0.069,0.075,0.077,0.06,0.065,0.061,0.064,0.056,0.15,0.419,0.058,0.057,0.055,0.09,0.082
11/6/2011 15:10,0.0908,0.041,0.05,0.055,0.043,0.044,0.044,0.054,0.045,0.049,0.111,0.305,0.051,0.041,0.045,0.066,0.045
11/6/2011 15:20,0.05864,0.03,0.03,0.034,0.031,0.031,0.029,0.032,0.032,0.031,0.071,0.156,0.027,0.014,0.03,0.04,0.021
11/6/2011 15:30,0.0442,0.014,0.012,0.014,0.014,0.014,0.019,0.016,0.017,0.015,0.045,0.048,0.012,0.006,0.018,0.024,0.005
11/6/2011 15:40,0.03516,0.006,0.005,0.006,0.006,0.006,0.007,0.007,0.006,0.002,0.037,0.039,0.01,0.005,0.014,0.024,0.003
11/6/2011 15:50,0.02461,0.004,0.003,0.005,0.004,0.004,0.005,0.005,0.004,0.002,0.027,0.03,0.007,0.003,0.012,0.022,0.002
11/6/2011 16:00,0.01482,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.001,0.017,0.017,0.003,0.002,0.003,0.007,0.002
11/6/2011 16:10,0.00847,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.011,0.011,0.002,0.001,0.002,0.005,0.001
11/6/2011 16:20,0.004876,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.007,0.008,0.002,0.001,0.002,0.004,0.001
11/6/2011 16:30,0.000439,0,0,0,0,0,0,0,0,0,0.002,0.003,0.001,0,0.001,0.001,0
11/6/2011 16:40,-0.001007,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0
11/6/2011 16:50,-0.001277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2011 17:00,-0.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2011 17:10,-0.001474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2011 17:20,-0.001491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2011 17:30,-0.001458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2011 17:40,-0.001471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
